_afpovertcp._tcp.local    # Apple File Sharing
_ftp._tcp.local           # FTP Servers
_http._tcp.local          # Web Servers
_https._tcp.local         # HTTPS servers
_smb._tcp.local           # Windows Sharing
_rfb._tcp.local           # Remote Frame Buffer, Screen Sharing
_ssh._tcp.local		    	# Secure Shell
_telnet._tcp.local          # Telnet
_printer._tcp.local	    	# LPR Printers
_ipp._tcp.local 			# IPP Printers
_ippusb._tcp.local          # Printing
_ipps._tcp.local            # Printing
_presence._tcp.local		# iChat Buddies, Apple
_ichat._tcp.local           # iChat Instant Messaging Protocol, Apple
_daap._tcp.local			# Digital Audio Access Protocol, iTunes Libraries
_dpap._tcp.local			# iPhoto Libraries
_adisk._tcp.local			# Automatic Disk Discovery
_airdrop._tcp.local	    	# AirDrop
_airplay._tcp.local 		# AirPlay
_airport._tcp.local	    	# Airport Base Stations
_acp-sync._tcp.local		# Airport Base Station Sync
_eppc._tcp.local			# Remote Apple Events
_home-sharing._tcp.local    # Home Sharing
_homekit._tcp.local	    	# HomeKit
_ldap				    # LDAP
_mediaremotetv._tcp         # Apple TV Media Remote, Apple
_net-assistant._tcp         # Apple Remote Desktop
_od-master._tcp             # OpenDirectory Master
_nfs._tcp                   # Network File System
_pdl-datastream._tcp        # Printer Page Description Language Data Stream, Apple (http://www.cisco.com/c/en/us/td/docs/solutions/Enterprise/Borderless_Networks/Unified_Access/BYOD_Bonjour_EntMob.html)
_raop._tcp                  # Remote Audio Output Protocol, Apple
_scanner._tcp               # Bonjour Scanning
_sftp-ssh._tcp              # Secure File Transfer Protocol over SSH
_sleep-proxy._udp           # Sleep Proxy Server, Apple
_teleport._tcp              # teleport
_tftp._tcp                  # Trivial File Transfer Protocol
_workstation._tcp           # Workgroup Manager, Apple
_webdav._tcp                # World Wide Web Distributed Authoring and Versioning (WebDAV)
_webdavs._tcp               # WebDAV over SSL/TLS
_apple-mobdev._tcp.local    # iTunes-WiFiSync, OSX Wi-Fi Sync
_apple-mobdev2._tcp.local   # iTunes-WiFiSync, OSX Wi-Fi Sync
_companion-link._tcp.local  # AirPlay2
_googlecast._tcp.local      # Google Chrome Cast services
_googlezone._tcp.local      # Google Zone Cast services
_device-info._tcp.local     # OSX Device Info
_dns-sd._udp.local          # DNS Service Discovery
_services._dns-sd._udp.local  # Services
_keepalive._dns-sd._udp.local # Sleep Proxy
b._dns-sd._udp              # Browse
db._dns-sd._udp             # Default Browse
lb._dns-sd._udp             # Automatic Browse
r._dns-sd._udp              # Registration
dr._dns-sd._udp             # Default Registration
_hap._tcp.local             # Apple HomeKit – HomeKit Accessory Protocol
_atc._tcp.local             # Apple Shared iTunes Library
_touch-remote._tcp.local    # 
_touch-able._tcp.local      # Apple TV Remote App (iOS devices), Apple
_tunnel._tcp.local          # Tunnel File Protocol

_spotify-connect._tcp.local # Spotify Connect
_hudson._tcp.local          # Jenkins App
_jenkins._tcp.local         # Jenkins App
_KeynoteControl._tcp.local  # OSX Keynote, Apple
_keynotepair._tcp.local     # OSX Keynote, Apple
_androidtvremote._tcp.local # Nvidia Shield / Android TV
_udisks-ssh._tcp.local      # Ubuntu / Raspberry Pi Advertisement
_privet._tcp.local          # Privet is a Cloud Device Local Discovery API used by cloud services
_uscan._tcp.local           # HP Printers?
_uscans._tcp.local          # HP Printers?
_ptp._tcp.local             # Picture Transfer Protocol
_withings-aura-bridge._tcp.local    # Sleep tracker Aura Withings
_amzn-wplay._tcp.local      # Amazon Devices, Amazon Fire TV (?)
_coremediamgr._tcp.local    # Air Video HD
_nvstream_dbd._tcp.local    # NVidia Gamestream server
_teamviewer._tcp.local      # Team Viewer
_bp2p._tcp.local            # BlackBerry (?)
_mamp._tcp.local            # MAMP Development Server
_1password4._tcp.local      # 1Password Wi-Fi Sync
_plasma._tcp.local          # KDE Plasma (?)
_sane-port._tcp.local       # SANE (Scanner Access Now Easy) Network Daemon
_nmea-0183._tcp.local       # Navico Multifunctional Displays
_riousbprint._tcp.local     # Remote USB port emulation, Printing, Apple
_ndi._tcp.local             # Siena TV 
_wirecastgodirect._tcp.local    # Wirecast Go Streaming by TeleStream
_scan-target._tcp.local     # Scanner, Printing
_udisks-ssh._tcp.local      # A remote disk management tool Ubuntu/Linux
_tivo-videos._tcp.local     # Tivo Service Advertising
_readynas._tcp.local        # Netgear Ready NAS  
_csco-sb._tcp.local         # Cisco SB (small business), router/switches
_pulse-server._tcp.local    # Pulse Audio Server
_pulse-sink._tcp.local      # Pulse Audio
_pulse-source._tcp.local    # Pulse Audio
_duet_air._tcp.local        # Duet Screen Sharing
_samsungmsf._tcp.local      # Samsung
